section,question_or_measure,population,geography,result_pct,source_page,note
Adoption,Ever used a cosmetic product from a Korean brand,All respondents,Singapore,96,9,"Yes response"
Purchase category,Purchased skincare,K-beauty users,Singapore,96,11,"Multiple-response question"
Purchase category,Purchased masks,K-beauty users,Singapore,80,11,"Multiple-response question"
Purchase category,Purchased cleansers or makeup removers,K-beauty users,Singapore,72,11,"Multiple-response question"
Purchase category,Purchased makeup,K-beauty users,Singapore,71,11,"Multiple-response question"
Trial motivator,Price,K-beauty users,Singapore,64,12,"Multiple-response question"
Trial motivator,Positive reviews or testimonials,K-beauty users,Singapore,62,12,"Multiple-response question"
Trial motivator,Recommendation from friends or family,K-beauty users,Singapore,58,12,"Multiple-response question"
Trial motivator,Efficacy claims,K-beauty users,Singapore,54,12,"Multiple-response question"
Trial motivator,Influence of social networks or influencers,K-beauty users,Singapore,41,12,"Multiple-response question"
Purchase frequency,Occasionally,K-beauty users,Singapore,58,13,"Single-response distribution"
Purchase frequency,Regularly,K-beauty users,Singapore,36,13,"Single-response distribution"
Purchase channel,Online,K-beauty users,Singapore,81,14,"Multiple-response question"
Satisfaction,Satisfied or very satisfied,K-beauty users,Singapore,81,15,"Combined result: 16% very satisfied + 65% satisfied"
Perceived benefit,K-beauty offers more benefits than usual products,K-beauty users,Singapore,49,16,"Yes response"
Association,Beauty or glamour,Users and non-users,Singapore,69,19,"Multiple-response question"
Association,Trendy or in tune with the times,Users and non-users,Singapore,67,19,"Multiple-response question"
Attractive aspect,Product effectiveness,Users and non-users,Singapore,45,20,"Single-response distribution"
Attractive aspect,Price,Users and non-users,Singapore,22,20,"Single-response distribution"
Attractive aspect,Quality of ingredients,Users and non-users,Singapore,12,20,"Single-response distribution"
Routine awareness,Glass skin,Users and non-users,Singapore,59,21,"Multiple-response question"
Awareness channel,Social networks,Users and non-users,Singapore,84,22,"Multiple-response question"
Awareness channel,Friends or family,Users and non-users,Singapore,58,22,"Multiple-response question"
Media influence,Cultural trends or media popularity influence trial,Users and non-users,Singapore,77,23,"Yes response"
Drama influence,Watching Korean series or films increased K-beauty interest,Users and non-users,Singapore,43,24,"Yes response"
Social influence,Social networks or influencers impact motivation a lot,Users and non-users,Singapore,30,25,"Single-response distribution"
Social influence,Social networks or influencers impact motivation a little,Users and non-users,Singapore,63,25,"Single-response distribution"
