Name,Brand,Quantity,Location,Category,Subcategory,Files & media,Measurements,Status
Cream Knit Sweater,Northline,1,Home Closet,Clothing,Sweaters,,Medium,Available
Navy Wide-Leg Trousers,Atelier Nine,1,Storage Box A,Clothing,Pants,,Small,Available
Canvas Overshirt,Harbor Goods,1,Home Closet,Clothing,Tops,,Medium,Available
Black Running Shoes,Stride Co.,1,Home Closet,Shoes,Sneakers,,US 7,Available
Brown Leather Boots,Field & Form,1,Storage Box B,Shoes,Boots,,US 7,Selling
Grey Cotton T-Shirt,Common Thread,2,Home Closet,Clothing,Tops,,Small,Available
Yellow Rain Jacket,Northline,1,Storage Box A,Clothing,Outerwear,,Medium,Available
White Court Sneakers,Stride Co.,1,Home Closet,Shoes,Sneakers,,US 7,Selling
Blue Denim Skirt,Atelier Nine,1,Storage Box B,Clothing,Bottoms,,Small,Available
Olive Canvas Tote,Harbor Goods,1,Home Closet,Accessories,Bags,,One size,Available
